Nom;Type;image_url;lien_youtube;instructions;Ingredients
Ekomba;D;ekomba.png;https://vm.tiktok.com/ZMhqGfjEF/;;Arachide,maïs,piment,huile rouge,sel,sucre,poisson fumé,écrevisse
Pommes sautées;S;pommes_sautees.png;https://vm.tiktok.com/ZMhQmareM/;;Pomme,viande de boeuf,oignon,tomate,poiro,ail,piment,cube,poivre blanc
Tripes sautés;S;tripes_sautes.png;https://vm.tiktok.com/ZMhQxBGs2/;;Tripes,tomate,oignon,poiro,poivron,piment,cube,plantain,huile raffinée,sel,poivre blanc
Poulet DG;S;poulet_dg.png;https://vm.tiktok.com/ZMhQmr65W/;;Plantain mûr,poulet,tomate,oignon,poivron,haricot vert,carotte,cube
Folong sauté;L;folong_saute.png;https://vm.tiktok.com/ZMhqsbmqu/;;Folong,épinards,poisson,plantain mur,écrevisses,sel
Kondrè;;kondre.png;https://vm.tiktok.com/ZMhQmj4Kt/;;Plantains non murs,huile rouge,viande de boeuf,tomate,poivron,poiro,ginger,oignon,ail,piment,sel,cube,épice
Sauce crème;S;sauce_creme.png;https://vm.tiktok.com/ZMhQmeU6u/;;Crème,Champignons,Viande de boeuf,huile raffinée,oignon,ail,poivre blanc,piment,lorier
Zom sauté;L;zom_saute.png;https://vm.tiktok.com/ZMhQmxjA1/;;Zom,kanwa,tomate,oignon,ail,huie raffinée,morue fumée
Met d'arachide;D;met_arachide.png;https://vm.tiktok.com/ZMhQ9vLH4/;;Arachide,crevettes,poissons fumés,cube,sel
Koko;L;koko.png;https://vm.tiktok.com/ZMhQ9vLH4/;;Feuille d’okok,arachide,peau,viande de boeuf,poisson fumé,sel,cube,crevettes,piment
Igname malaxé;;igname_malaxe.png;https://vm.tiktok.com/ZMhQbBj1r/;;Ignames,bounga,tomate,poiro,oignon,ail,celeri,huile rouge,huile raffinée,cube,piment
Émincé de bœuf ;S;emince_de_boeuf.png;https://vm.tiktok.com/ZMhQbHWbu/;;Viande de boeuf,oignon,tomate,haricot vert,carotte,poivron,huile raffinée,épices,cube,sel
Bouillon d'igname ;S;bouillon_igname.png;https://vm.tiktok.com/ZMhQgYPfn/;;Igname,poulet,oignon,tomate,poivron,ail,ginger,kanwa,cube,sel,poivre blanc,celeri,persil
Macabo rapé;;macabo_rape.png;https://vm.tiktok.com/ZMhQg2KF5/;;Macabo,huile rouge,sel,farine de manioc
Macabo ndole;L;macabo_ndole.png;https://vm.tiktok.com/ZMhQbW97U/;;Macabo,feuilles de ndole,huile rouge,oignon,ail,ginger,piment,mbounga,crevettes,sel,cube
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
poisson braisé;;poisson_braisé.jpeg;none;https://www.facebook.com/groups/5969210399820018/permalink/27214278784886538/?mibextid=rS40aB7S9Ucbxw6v;poisson,oignon,ail,gingembre,djansang,4 cotés,bassilic,sel,huile,piment
poulet sauté;;poulet_sauté.jpeg;none;https://www.facebook.com/groups/5969210399820018/permalink/27169574989356918/?mibextid=rS40aB7S9Ucbxw6v;poulet,moutarde,ail,coriande,poivre,sel,maggi,vinaigre balsamique,huile,oignon,tomate,feuille d'oignon,gingembre,piment,poivron,persil,poireau,
ragout de pomme de terre;;ragout_pomme_terre.jpeg;none;https://www.facebook.com/groups/271046731368759/permalink/1038105811329510/?mibextid=rS40aB7S9Ucbxw6v;pomme de terre, viande de boeuf,carotte,persil,poivre,oignon,tomate,sel,cube feuille de laurier
ekwan;;ekwan.jpeg;none;https://www.facebook.com/100084235471866/posts/528425766641935/?mibextid=rS40aB7S9Ucbxw6v;macabo,poisson fumé,feuille de macabo jeune,peau de boeuf,ecrevisse,oignon,ail,huile rouge,rondelle,gingembre,sel,poivre noir
nkwa nsap;;nkwa_nsap.jpeg;none;https://www.facebook.com/groups/937262730325838/posts/recette-nkwa-nzap-ou-macabo-pil%C3%A9-au-legume-saut%C3%A9cuisine-%EF%B8%8F-camerounais-et-africai/1496590551059717/?mibextid=rS40aB7S9Ucbxw6v;legume(zoom),tomate,oignon,ail,crevettes,viande,poisson thon,poisson fumé,mbounga,macabo,poivron,huilr,cube,sel
sauce gombo pistache;;sauce_pistache.jpeg;none;https://www.facebook.com/groups/937262730325838/permalink/1478755086176597/?mibextid=rS40aB7S9Ucbxw6v;pistache,fufu frais,gombo,viande,ecrevisses,poireau,ail,oignon,persil,bassilic,celeri,poivre blanc,gingrmbre,tomate,piment,sel,cube,huile
sauce jaune;;sauce_jaune.jpeg;none;https://www.facebook.com/groups/937262730325838/permalink/1445469189505187/?mibextid=rS40aB7S9Ucbxw6v;huile rouge,epice sauce jaune,eau,viande,peau de boeuf,sel gemme,sel,taro
machoiron au djansang;;machoiron_djansang.jpeg;none;https://www.facebook.com/groups/937262730325838/permalink/1442976536421119/?mibextid=rS40aB7S9Ucbxw6v;machoiron,tomate,oignon,ail,gingembre,djansang,poivre,bassilic,persil,pèpè,odjom,piment,cube,huile,sel
ekoka koki;;ekoka_koki.jpeg;none;https://www.facebook.com/groups/937262730325838/posts/recette-ekoka-koki-koki-manioccuisine-%EF%B8%8F-camerounais-et-africaine-ingredientsmani/1496555121063260/?mibextid=rS40aB7S9Ucbxw6v;manioc,feuille de macabo rouge,huile rouge,ecrevisse, mbounga,piment,sel
Pate d'arachide;D;pate_arachide.jpeg;none;https://www.facebook.com/groups/570251150221166/permalink/1641225706457033/?mibextid=rS40aB7S9Ucbxw6v;sel,arachides,sucre, ecrevisse(facultatif)
pili pili;;pili_pili.jpeg;none;https://www.facebook.com/groups/570251150221166/permalink/1641225583123712/?mibextid=rS40aB7S9Ucbxw6v;viande de boeuf, oignon, poivron, haricots verts, carottes, tomates, condiments verts, epices,sel
boulette de viande de boeuf;;boulette.jpeg;none;https://www.facebook.com/groups/570251150221166/permalink/1601397687106502/?mibextid=rS40aB7S9Ucbxw6v;viande de boeuf,oeuf,moutarde,huile,chapelure,herbe(basilie,celeri,poireau), oignon, ail,sel, poivre
patate sauté;;patate_sauté.jpeg;none;https://www.facebook.com/groups/570251150221166/permalink/1639538446625759/?mibextid=rS40aB7S9Ucbxw6v;patate douce,sel,oignon,huile rouge,ail,poivre blanc,gingembre, rondele,mbounga,akpi,epice poulet, epice herbede province,anis vert
gateau au chocolat;;gateau_chocolat.jpeg;none;https://www.facebook.com/groups/570251150221166/permalink/1618767152036222/?mibextid=rS40aB7S9Ucbxw6v;farine de blé, oeufs,lait,huile,extrait de vanille,cacao en poudre non sucré,café liquide,sucre,levure chimique,sel, eau,bicarbonate,beurre
eru fufu tapioca;;eru_fufu_tapioca.jpeg;none;https://www.facebook.com/groups/570251150221166/permalink/1628286307750973/?mibextid=rS40aB7S9Ucbxw6v;waterlift,okok,huile rouge,peau de boeuf,viande de boeuf,crevette,poisson fumé,piment, sel, tapioca
maquereau à la poèle;;maquereau_poele.jpeg;none;https://www.facebook.com/groups/570251150221166/permalink/1636021560310781/?mibextid=rS40aB7S9Ucbxw6v;maquereau,akpi,poivre blanc,oignon,ail,mayonnaise,poivron,tomate,celeri,poireau,persil,sel,huile epice poisson
poisson pané;;poisson_pané.jpeg;none;https://www.facebook.com/groups/5969210399820018/permalink/27285448367769579/?mibextid=rS40aB7S9Ucbxw6v;filet de poisson,citron,chapelure,farine blé,poudre d'ail,gingembre,sel,oeuf,huile
bouillon de pattes de boeuf;;bouillon_boeuf.jpeg;none;https://www.facebook.com/groups/5969210399820018/permalink/27249765791337837/?mibextid=rS40aB7S9Ucbxw6v;pattes de boeuf,tomates,oignons,ail,poivre blanc,djansang,rondelles,pèpè,ossim,gingembre,feuille de laurier,huile,sel,bouillon d'assaisonnement
sauce d'arachide poisson fumé;;sauce_arachide.jpeg;none;https://www.facebook.com/groups/5969210399820018/permalink/27244537955193954/?mibextid=rS40aB7S9Ucbxw6v;arachide,tomate,ail,oignon,gingembre,poivre blanc, celeri,poireau,poisson fumé,sel
ndomba machoiron;;ndomba.jpeg;none;https://www.facebook.com/groups/5969210399820018/permalink/27224883947159355/?mibextid=rS40aB7S9Ucbxw6v;machoiron,pebès,rondelle,djansang,poivre blanc,poivre noir,oignon,ail,piment,feuille d'odjom,feuille de massep,bassilic,sel,feuille de bananier,tomate,huile,4 cotés
emincés de boeuf aux legumes;;emincés_boeuf.jpeg;none;https://www.facebook.com/groups/416332398566160/permalink/2752113274988049/?mibextid=rS40aB7S9Ucbxw6v;filet de boeuf,oignon,poivron,carotte,ail,sel,poivre,tomate,huile
sauce kelen kelen;;sauce_kelen_kelen.jpeg;none;https://www.facebook.com/groups/737700003870618/permalink/1329980241309255/?mibextid=rS40aB7S9Ucbxw6v;poulet,poisson fumé,feuille de kelen kelen,sel,cube,oignon,ail,gingembre,piment,tomate,huile
sauce des escargots; ;sauce_escargots.jpeg;none;https://www.facebook.com/groups/737700003870618/permalink/1251813372459276/?mibextid=rS40aB7S9Ucbxw6v;escargots frais,piment,oignon,ail,sel,cube,huile,feuille d'oignon,poivre blanc,ppoivre noir,poivron,poireau
ragout de pomme de terre avec boulettes de viande;S;pomme_boulette.jpeg;none;https://www.facebook.com/groups/416332398566160/posts/tajine-de-boulettes-de-viandepomme-de-terre-petit-poistrop-miam-miamrecette-en-i/2761523354047041/?mibextid=rS40aB7S9Ucbxw6v; boulette de viande,carotte,oignon,ail,condiment vert,petit poids, olive,pommes de terre gingembre,tomate,epices,sel
poulet yassa;;poulet_yassa.jpeg;none;https://www.facebook.com/groups/416332398566160/permalink/2699352383597472/?mibextid=rS40aB7S9Ucbxw6v;poulet,condiment vert,sel,citron,olives,ail,moutarde,poivre blanc,piment,
salade composée;;salade_composée.jpeg;none;https://www.facebook.com/groups/416332398566160/permalink/2502383243294388/?mibextid=rS40aB7S9Ucbxw6v;dinde,oeuf,tomates,oignon,persil,pomme de terre,concombre,carotte,citron
gesiers grillés aux legumes sautés;;gesiers_legumes.jpeg;none;https://www.facebook.com/groups/3573280069581036/posts/d41d8cd9/3839334732975567/?mibextid=rS40aB7S9Ucbxw6v;gesiers de poulet,carotte,concombre,poivron,poireau,tomate,oignon,pomme de terre,poivre blanc,poivre noir,courgette
porc à la moutarde;;porc_moutarde.jpeg;none;https://www.facebook.com/groups/3573280069581036/posts/d41d8cd9/3837707313138309/?mibextid=rS40aB7S9Ucbxw6v;porc,ail,oignon,tomates,poireau,celeri,feuille de laurier,moutarde,vin,poivron,sel,poivre,cube
tripes sautés;;tripe.jpeg;none;https://www.facebook.com/groups/3573280069581036/permalink/3833001776942196/?mibextid=rS40aB7S9Ucbxw6v;tripes,poivre blanc,oignon,sel,ail,tomate,pebe,poivron,poireau,huile,piment
riz sauté aux petits legumes;;riz_sauté.jpeg;none;https://www.facebook.com/groups/3573280069581036/permalink/3835344780041229/?mibextid=rS40aB7S9Ucbxw6v;carotte,boite de mais doux,petits poids,oignon,poivron rouge et jaune ,oeufs,riz,sauce soja
cupcake;;cupcake.jpeg;none;https://www.facebook.com/groups/3573280069581036/posts/d41d8cd9/3832406657001708/?mibextid=rS40aB7S9Ucbxw6v;farine,levure chimique,sel,sucre,lait,oeufs,essence de vanille,huile,eau
pop corn au lait sucré;;pop_corn.jpeg;none;https://www.facebook.com/groups/3573280069581036/permalink/3831971043711936/?mibextid=rS40aB7S9Ucbxw6v;mais,sucre,lait concentré sucré,huile
. Ignames sautées;F;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Sauce jaune au Gombo;sauce;lmage/sauce_jaune_gombo.jpg;https://youtu.be/r8Ev64BWnTU?si=Pg94SdjgjTIWHe6B;Instruction/sauce_jaune_gombo.txt;huile rouge,sel germe,gombo,piment,condiments de la sauce jaune, poisson fumé ou viande
sauce gombo ;sauce ;Image/sauce_gombo.jpg;;;
